# Reference aircraft for the fleet-comparison plots (Aircraft Comparison page).
# Nominal published specifications for visual reference only -- NOT certification
# data and NOT used in any FAR computation. Weights in lb, span/area in ft.
# engine_type uses the WTESTIMA vocabulary (recip / turboprop) where it applies.
# aspect_ratio is span^2 / wing_area from the columns below (consistent with the
# stored geometry, so the geometric plots and the loading scatters agree).
# The lower block is a heavier / concept tier (twins, commuters, bizjets, light
# transports) added for Phase-C concept designs that exceed the GA band; jets carry
# max_hp = 0 (no shaft power) and are excluded from the W/P comparison.
aircraft,mtow_lb,oew_lb,max_hp,engines,engine_type,seats,wingspan_ft,wing_area_ft2,aspect_ratio
Cessna 150,1600,1111,100,1,recip,2,32.7,160,6.7
Cessna 172,2450,1691,180,1,recip,4,36.1,174,7.5
Cessna 182,3100,1970,230,1,recip,4,36.0,174,7.4
Cessna 206,3600,2210,310,1,recip,6,36.0,174,7.4
Cessna 210,3800,2303,310,1,recip,6,36.7,175,7.7
Van's RV-7,1800,1100,180,1,recip,2,25.0,121,5.2
Van's RV-8,1800,1100,180,1,recip,2,24.0,116,5.0
Van's RV-10,2700,1610,260,1,recip,4,31.7,148,6.8
Van's RV-14,2050,1175,210,1,recip,2,27.0,127,5.7
Piper PA-28-181 Archer,2550,1416,180,1,recip,4,35.5,170,7.4
Cirrus SR22,3600,2250,310,1,recip,5,38.3,144.9,10.1
Diamond DA40,2645,1698,180,1,recip,4,39.2,145.3,10.6
Extra 300,2095,1477,300,1,recip,2,26.9,113,6.4
Beechcraft Bonanza A36,3650,2530,300,1,recip,6,33.5,181,6.2
Piper PA-46 Malibu,4340,2740,350,1,turbocharged,6,43.0,175,10.6
Daher TBM 940,7394,4629,850,1,turboprop,6,42.1,193.7,9.1
Beechcraft King Air 200,12500,8060,1700,2,turboprop,9,54.5,303,9.8
ATR 42-500,41005,24802,4102,2,turboprop,50,80.6,587,11.1
de Havilland Dash 8-100,34500,22055,4000,2,turboprop,39,85.0,585,12.3
Beechcraft Baron G58,5524,3815,600,2,recip,6,37.8,199,7.2
Piper PA-44 Seminole,3800,2430,360,2,recip,4,38.6,183.8,8.1
Piper PA-31 Navajo,6500,3994,620,2,recip,8,40.7,229,7.2
Cessna 208 Caravan,8807,5085,867,1,turboprop,14,52.1,279,9.7
Pilatus PC-12,10450,6173,1200,1,turboprop,9,53.3,277,10.3
DHC-6 Twin Otter,12500,7415,1240,2,turboprop,19,65.0,420,10.1
Beechcraft 1900D,17120,10434,2550,2,turboprop,19,57.8,310,10.8
Embraer EMB-120 Brasilia,26433,15793,3360,2,turboprop,30,64.9,424,9.9
Saab 340B,28500,17715,3520,2,turboprop,37,70.4,450,11.0
Cessna Citation CJ3,13870,8770,0,2,turbofan,9,53.3,294,9.7
